operation,timestamp,datetime,cpu_percent,memory_mb,execution_time_ms
status_verification,1749701771.7491257,2025-06-12 13:16:11.749,3.24,0.99,0.19496199092827737
prepare_profile,1749701772.755312,2025-06-12 13:16:12.755,12.51,4.29,0.27101600426249206
key_establishment,1749701772.757168,2025-06-12 13:16:12.757,18.35,6.59,0.33464899752289057
key_establishment,1749701772.758761,2025-06-12 13:16:12.758,16.18,5.11,0.20482600666582584
register_euicc,1749701772.760277,2025-06-12 13:16:12.760,14.6,5.53,0.15865397290326655
create_isdp,1749701772.7618036,2025-06-12 13:16:12.761,9.06,2.9,0.1936929766088724
install_profile,1749701772.7636456,2025-06-12 13:16:12.763,21.74,9.93,0.32323499908670783
enable_profile,1749701772.7650452,2025-06-12 13:16:12.765,9.6,1.97,0.11275699944235384
install_profile,1749701772.7667742,2025-06-12 13:16:12.766,22.02,10.42,0.2282810164615512
key_establishment,1749701772.7687888,2025-06-12 13:16:12.768,16.96,3.91,0.3500949824228883
status_verification,1749701772.7699091,2025-06-12 13:16:12.769,2.67,1.45,0.10452501010149717
status_verification,1749701772.7709498,2025-06-12 13:16:12.770,3.78,1.27,0.0797829998191446
status_verification,1749701772.7720761,2025-06-12 13:16:12.772,3.66,1.13,0.08369699935428798
prepare_profile,1749701773.7761085,2025-06-12 13:16:13.776,15.02,6.15,0.24966700584627688
key_establishment,1749701773.778109,2025-06-12 13:16:13.778,19.0,5.57,0.3305939899291843
key_establishment,1749701773.7798429,2025-06-12 13:16:13.779,18.92,5.37,0.20688999211415648
register_euicc,1749701773.7812924,2025-06-12 13:16:13.781,13.88,3.14,0.15508400974795222
create_isdp,1749701773.7829576,2025-06-12 13:16:13.782,8.82,3.87,0.11916900984942913
install_profile,1749701773.7844396,2025-06-12 13:16:13.784,23.42,9.86,0.29451100272126496
enable_profile,1749701773.7860458,2025-06-12 13:16:13.786,9.29,3.34,0.10631498298607767
install_profile,1749701773.787474,2025-06-12 13:16:13.787,20.72,6.91,0.14575300156138837
key_establishment,1749701773.788859,2025-06-12 13:16:13.788,19.93,3.67,0.3045129997190088
status_verification,1749701773.7898765,2025-06-12 13:16:13.789,2.85,1.42,0.0809190096333623
status_verification,1749701773.790964,2025-06-12 13:16:13.790,2.7,0.98,0.08054598583839834
status_verification,1749701773.7919402,2025-06-12 13:16:13.791,3.05,0.87,0.08134602103382349
prepare_profile,1749701774.7967954,2025-06-12 13:16:14.796,13.69,4.88,0.18172600539401174
key_establishment,1749701774.798285,2025-06-12 13:16:14.798,19.39,6.12,0.2617240243125707
key_establishment,1749701774.7997355,2025-06-12 13:16:14.799,18.4,3.98,0.17299700994044542
register_euicc,1749701774.8012013,2025-06-12 13:16:14.801,14.79,5.04,0.16068198601715267
create_isdp,1749701774.8025708,2025-06-12 13:16:14.802,6.62,3.04,0.11923900456167758
install_profile,1749701774.8042812,2025-06-12 13:16:14.804,26.31,9.22,0.3397120162844658
enable_profile,1749701774.8058057,2025-06-12 13:16:14.805,9.46,2.8,0.1014400040730834
install_profile,1749701774.807251,2025-06-12 13:16:14.807,27.6,9.22,0.1440740015823394
key_establishment,1749701774.8085291,2025-06-12 13:16:14.808,20.7,6.88,0.27276299078948796
status_verification,1749701774.8095248,2025-06-12 13:16:14.809,3.6,0.57,0.08328200783580542
status_verification,1749701774.8102958,2025-06-12 13:16:14.810,3.58,1.44,0.056976015912368894
status_verification,1749701774.8112388,2025-06-12 13:16:14.811,2.82,0.63,0.07727000047452748
prepare_profile,1749701775.1607268,2025-06-12 13:16:15.160,16.36,7.94,0.07708300836384296
key_establishment,1749701775.1612751,2025-06-12 13:16:15.161,22.27,3.32,0.10285497410222888
key_establishment,1749701775.1616066,2025-06-12 13:16:15.161,23.05,4.56,0.05086397868581116
register_euicc,1749701775.1621768,2025-06-12 13:16:15.162,12.38,2.84,0.05876098293811083
create_isdp,1749701775.1625197,2025-06-12 13:16:15.162,6.98,3.88,0.031516014132648706
install_profile,1749701775.16359,2025-06-12 13:16:15.163,26.53,6.56,0.20866200793534517
enable_profile,1749701775.1652746,2025-06-12 13:16:15.165,10.57,2.14,0.06840500282123685
install_profile,1749701775.1658978,2025-06-12 13:16:15.165,24.0,11.55,0.0624149979557842
key_establishment,1749701775.1665394,2025-06-12 13:16:15.166,22.85,6.92,0.14523198478855193
status_verification,1749701775.1669931,2025-06-12 13:16:15.166,3.69,1.12,0.035397999454289675
status_verification,1749701775.1674187,2025-06-12 13:16:15.167,3.37,0.53,0.04360999446362257
status_verification,1749701775.1679006,2025-06-12 13:16:15.167,3.43,1.2,0.04277698462828994
prepare_profile,1749701775.8149874,2025-06-12 13:16:15.814,14.97,6.7,0.2439039817545563
key_establishment,1749701775.8171847,2025-06-12 13:16:15.817,19.9,4.2,0.3636920009739697
key_establishment,1749701775.8192594,2025-06-12 13:16:15.819,23.22,6.72,0.28040699544362724
register_euicc,1749701775.8214016,2025-06-12 13:16:15.821,13.33,4.36,0.21609500981867313
create_isdp,1749701775.8235214,2025-06-12 13:16:15.823,6.77,4.02,0.18298797658644617
install_profile,1749701775.8255239,2025-06-12 13:16:15.825,21.34,10.08,0.3566450031939894
enable_profile,1749701775.8274617,2025-06-12 13:16:15.827,8.44,2.79,0.1699579879641533
install_profile,1749701775.8295727,2025-06-12 13:16:15.829,30.14,6.93,0.2166729827877134
key_establishment,1749701775.8320477,2025-06-12 13:16:15.832,22.11,3.72,0.3706869902089238
status_verification,1749701775.8332644,2025-06-12 13:16:15.833,3.07,1.33,0.09797801612876356
status_verification,1749701775.8343463,2025-06-12 13:16:15.834,3.71,0.54,0.07117501809261739
status_verification,1749701775.8356097,2025-06-12 13:16:15.835,2.76,1.14,0.11063198326155543
prepare_profile,1749701776.1697176,2025-06-12 13:16:16.169,14.72,7.46,0.07459698827005923
key_establishment,1749701776.170243,2025-06-12 13:16:16.170,22.41,5.31,0.1097890199162066
key_establishment,1749701776.170635,2025-06-12 13:16:16.170,19.06,5.02,0.04910200368613005
register_euicc,1749701776.1710167,2025-06-12 13:16:16.171,15.56,5.03,0.03749399911612272
create_isdp,1749701776.1713321,2025-06-12 13:16:16.171,7.37,4.06,0.032190990168601274
install_profile,1749701776.171722,2025-06-12 13:16:16.171,25.14,11.43,0.09208798292092979
enable_profile,1749701776.1721249,2025-06-12 13:16:16.172,9.05,1.84,0.031109986593946815
install_profile,1749701776.172488,2025-06-12 13:16:16.172,21.72,9.63,0.04496899782679975
key_establishment,1749701776.1728559,2025-06-12 13:16:16.172,18.44,3.65,0.08386999252252281
status_verification,1749701776.1731415,2025-06-12 13:16:16.173,3.32,1.47,0.02528799814172089
status_verification,1749701776.1734164,2025-06-12 13:16:16.173,3.4,1.09,0.02327898982912302
status_verification,1749701776.174133,2025-06-12 13:16:16.174,3.53,0.95,0.07253899821080267
prepare_profile,1749701776.8405097,2025-06-12 13:16:16.840,16.91,6.44,0.2612439857330173
key_establishment,1749701776.8428388,2025-06-12 13:16:16.842,17.95,4.77,0.3527049848344177
key_establishment,1749701776.844809,2025-06-12 13:16:16.844,21.62,6.18,0.2502750139683485
register_euicc,1749701776.84688,2025-06-12 13:16:16.846,12.6,3.4,0.21341099636629224
create_isdp,1749701776.8487232,2025-06-12 13:16:16.848,7.17,3.83,0.18274900503456593
install_profile,1749701776.8508484,2025-06-12 13:16:16.850,24.54,7.57,0.36147297942079604
enable_profile,1749701776.8527994,2025-06-12 13:16:16.852,9.45,3.32,0.18310401355847716
install_profile,1749701776.8546762,2025-06-12 13:16:16.854,27.15,9.36,0.21720898803323507
key_establishment,1749701776.856441,2025-06-12 13:16:16.856,19.77,6.8,0.3183100197929889
status_verification,1749701776.857548,2025-06-12 13:16:16.857,3.81,1.46,0.09568600216880441
status_verification,1749701776.858937,2025-06-12 13:16:16.858,3.0,0.99,0.13641201076097786
status_verification,1749701776.860252,2025-06-12 13:16:16.860,3.16,1.04,0.1285010075662285
prepare_profile,1749701777.1776536,2025-06-12 13:16:17.177,13.01,6.43,0.24448800832033157
key_establishment,1749701777.179539,2025-06-12 13:16:17.179,22.0,3.91,0.31882600160315633
key_establishment,1749701777.1812263,2025-06-12 13:16:17.181,20.15,3.83,0.23126299493014812
