timestamp,vus,iterations,cpu_percent,mem_percent,memory_mb
2025-07-12T10:36:40.796Z,5,10,2.90,9.50,95.95
2025-07-12T10:36:46.769Z,9,52,10.00,9.50,96.51
2025-07-12T10:36:52.221Z,14,116,3.30,9.50,97.26
2025-07-12T10:36:58.257Z,19,210,2.90,9.50,98.57
2025-07-12T10:37:03.627Z,23,325,4.20,9.50,100.26
2025-07-12T10:37:09.386Z,28,472,2.50,9.50,102.14
2025-07-12T10:37:15.338Z,33,639,2.50,9.50,104.01
2025-07-12T10:37:20.760Z,37,813,2.10,9.50,105.89
2025-07-12T10:37:26.249Z,42,1026,3.80,9.50,109.45
2025-07-12T10:37:31.742Z,46,1254,3.30,9.50,112.26
2025-07-12T10:37:36.854Z,51,1495,2.50,9.60,115.45
2025-07-12T10:37:41.913Z,60,1773,2.90,9.60,119.01
2025-07-12T10:37:47.570Z,69,2129,2.50,9.60,123.51
2025-07-12T10:37:53.092Z,78,2521,12.80,9.60,128.76
2025-07-12T10:37:58.986Z,88,2989,2.10,9.70,134.95
2025-07-12T10:38:04.243Z,97,3466,4.20,9.70,141.51
2025-07-12T10:38:09.696Z,106,4023,2.50,9.70,148.64
2025-07-12T10:38:15.763Z,116,4675,3.70,9.80,157.45
2025-07-12T10:38:21.577Z,126,5364,3.80,9.80,166.64
2025-07-12T10:38:27.159Z,135,6073,2.90,9.80,175.64
2025-07-12T10:38:32.693Z,144,6819,5.90,9.80,186.32
2025-07-12T10:38:37.720Z,153,7549,2.90,9.90,195.32
2025-07-12T10:38:43.067Z,162,8404,3.80,9.90,207.32
2025-07-12T10:38:48.166Z,170,9240,2.90,10.00,217.82
2025-07-12T10:38:53.836Z,180,10227,2.50,10.00,230.95
2025-07-12T10:38:59.374Z,189,11246,3.80,10.10,244.82
2025-07-12T10:39:04.684Z,198,12260,2.10,10.10,258.70
2025-07-12T10:39:10.954Z,208,13514,3.80,10.20,274.64
2025-07-12T10:39:17.156Z,218,14832,5.40,10.30,291.89
2025-07-12T10:39:22.180Z,227,15935,9.30,10.30,305.95
2025-07-12T10:39:27.756Z,236,17212,4.20,10.30,322.82
2025-07-12T10:39:32.953Z,245,18431,3.30,10.40,338.57
2025-07-12T10:39:38.586Z,254,19817,4.60,10.40,357.14
2025-07-12T10:39:44.268Z,264,21284,4.20,10.60,376.26
2025-07-12T10:39:50.372Z,274,22904,4.20,10.70,399.14
2025-07-12T10:39:55.409Z,282,24292,3.40,10.70,417.70
2025-07-12T10:40:01.089Z,292,25898,5.00,10.80,439.07
2025-07-12T10:40:06.372Z,300,27443,3.80,10.90,458.95
2025-07-12T10:40:11.504Z,309,28980,3.70,10.90,479.01
2025-07-12T10:40:17.668Z,319,30912,17.60,11.00,503.95
2025-07-12T10:40:23.329Z,329,32733,3.80,11.20,527.57
2025-07-12T10:40:28.782Z,338,34522,11.30,11.20,551.01
2025-07-12T10:40:33.783Z,346,36234,3.80,11.30,572.95
2025-07-12T10:40:39.080Z,358,38069,11.30,11.50,597.51
2025-07-12T10:40:44.409Z,371,39969,2.90,11.50,621.89
2025-07-12T10:40:50.042Z,385,42111,4.20,11.60,650.01
2025-07-12T10:40:55.708Z,399,44309,3.30,11.80,682.36
2025-07-12T10:41:01.924Z,415,46825,3.80,11.80,715.36
2025-07-12T10:41:07.420Z,429,49072,10.60,12.00,744.61
2025-07-12T10:41:12.582Z,441,51302,5.40,12.10,774.42
2025-07-12T10:41:17.788Z,454,53619,4.60,12.20,803.67
2025-07-12T10:41:23.662Z,469,56281,4.20,12.40,838.36
2025-07-12T10:41:29.774Z,484,59169,5.00,12.50,876.42
2025-07-12T10:41:35.323Z,498,61801,9.30,12.60,910.36
2025-07-12T10:41:40.427Z,500,64319,5.00,12.70,943.73
2025-07-12T10:41:45.435Z,500,66658,5.00,12.90,973.54
2025-07-12T10:41:51.143Z,500,69511,5.40,13.00,1010.48
2025-07-12T10:41:56.785Z,500,72310,9.60,13.10,1047.42
2025-07-12T10:42:01.853Z,500,74714,5.00,13.30,1077.79
2025-07-12T10:42:06.938Z,500,77252,4.20,13.40,1110.61
2025-07-12T10:42:12.295Z,500,79904,5.00,13.60,1145.48
2025-07-12T10:42:17.907Z,500,82558,2.90,13.60,1179.79
2025-07-12T10:42:23.466Z,500,85301,5.50,13.70,1215.04
2025-07-12T10:42:29.001Z,500,88040,2.90,13.90,1257.86
2025-07-12T10:42:34.649Z,500,90835,3.30,14.00,1293.11
2025-07-12T10:42:39.605Z,445,93046,3.80,14.10,1321.98
2025-07-12T10:42:44.842Z,359,95163,3.80,14.20,1348.80
2025-07-12T10:42:50.509Z,263,96956,3.80,14.30,1370.55
2025-07-12T10:42:55.824Z,177,98158,5.40,14.30,1385.73
2025-07-12T10:43:01.735Z,78,98945,5.00,14.30,1395.30
